frame,tipo_objeto,conf,track_id,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula
33,car,0.711,2,1301,311,1361,363,0.0,0.0,0.0,0.0,0.0,
33,car,0.558,5,1225,325,1259,343,0.0,0.0,0.0,0.0,0.0,
34,bus,0.937,1,1342,160,1705,427,0.295,1567,375,1608,386,
34,car,0.718,2,1301,311,1359,362,0.0,0.0,0.0,0.0,0.0,
34,car,0.504,5,1223,322,1261,343,0.0,0.0,0.0,0.0,0.0,
35,bus,0.94,1,1339,162,1697,427,0.0,0.0,0.0,0.0,0.0,
35,car,0.718,2,1301,312,1357,362,0.0,0.0,0.0,0.0,0.0,
35,car,0.564,5,1221,321,1261,343,0.0,0.0,0.0,0.0,0.0,
36,bus,0.935,1,1337,164,1689,426,0.0,0.0,0.0,0.0,0.0,
36,car,0.694,2,1302,314,1355,361,0.0,0.0,0.0,0.0,0.0,
36,car,0.562,5,1221,320,1262,343,0.0,0.0,0.0,0.0,0.0,
37,bus,0.947,1,1336,165,1680,421,0.271,1506,179,1647,202,
37,car,0.681,2,1302,316,1352,360,0.0,0.0,0.0,0.0,0.0,
38,bus,0.939,1,1336,167,1674,420,0.0,0.0,0.0,0.0,0.0,
38,car,0.702,2,1302,317,1350,360,0.0,0.0,0.0,0.0,0.0,
39,bus,0.945,1,1336,168,1669,419,0.0,0.0,0.0,0.0,0.0,
39,car,0.753,2,1302,317,1349,360,0.0,0.0,0.0,0.0,0.0,
40,bus,0.942,1,1335,170,1662,416,0.0,0.0,0.0,0.0,0.0,
40,car,0.71,2,1301,317,1348,360,0.0,0.0,0.0,0.0,0.0,
41,bus,0.947,1,1335,172,1656,415,0.27,1500,188,1639,215,
41,car,0.751,2,1301,317,1347,359,0.0,0.0,0.0,0.0,0.0,
42,bus,0.94,1,1333,174,1649,415,0.337,1496,190,1632,215,
42,car,0.702,2,1301,318,1347,359,0.0,0.0,0.0,0.0,0.0,
43,bus,0.935,1,1332,176,1644,416,0.0,0.0,0.0,0.0,0.0,
43,car,0.748,2,1301,317,1346,359,0.0,0.0,0.0,0.0,0.0,
44,bus,0.935,1,1331,178,1639,416,0.0,0.0,0.0,0.0,0.0,
44,car,0.714,2,1300,317,1346,359,0.0,0.0,0.0,0.0,0.0,
45,bus,0.934,1,1331,179,1634,415,0.0,0.0,0.0,0.0,0.0,
45,car,0.708,2,1300,317,1344,358,0.0,0.0,0.0,0.0,0.0,
45,car,0.514,5,1219,317,1262,342,0.0,0.0,0.0,0.0,0.0,
46,bus,0.933,1,1332,181,1630,414,0.292,1488,196,1614,215,
46,car,0.687,2,1300,317,1343,357,0.0,0.0,0.0,0.0,0.0,
46,car,0.496,5,1220,318,1261,342,0.0,0.0,0.0,0.0,0.0,
47,bus,0.932,1,1332,183,1628,415,0.0,0.0,0.0,0.0,0.0,
47,car,0.654,2,1299,316,1341,356,0.0,0.0,0.0,0.0,0.0,
47,car,0.488,5,1221,318,1261,342,0.0,0.0,0.0,0.0,0.0,
48,bus,0.925,1,1331,184,1627,417,0.0,0.0,0.0,0.0,0.0,
48,car,0.578,2,1299,316,1339,356,0.0,0.0,0.0,0.0,0.0,
48,car,0.484,5,1221,318,1260,342,0.0,0.0,0.0,0.0,0.0,
49,bus,0.927,1,1330,185,1621,415,0.0,0.0,0.0,0.0,0.0,
49,car,0.544,2,1298,316,1338,355,0.0,0.0,0.0,0.0,0.0,
49,car,0.468,5,1221,317,1261,342,0.0,0.0,0.0,0.0,0.0,
50,bus,0.926,1,1328,186,1614,414,0.0,0.0,0.0,0.0,0.0,
50,car,0.472,2,1297,315,1337,355,0.0,0.0,0.0,0.0,0.0,
50,car,0.484,5,1221,317,1260,342,0.0,0.0,0.0,0.0,0.0,
51,bus,0.934,1,1327,187,1611,414,0.0,0.0,0.0,0.0,0.0,
51,car,0.474,2,1298,317,1336,354,0.0,0.0,0.0,0.0,0.0,
51,car,0.477,5,1221,317,1261,342,0.0,0.0,0.0,0.0,0.0,
52,bus,0.919,1,1328,187,1606,411,0.0,0.0,0.0,0.0,0.0,
52,car,0.4,2,1297,317,1336,354,0.0,0.0,0.0,0.0,0.0,
52,car,0.448,5,1221,317,1260,342,0.0,0.0,0.0,0.0,0.0,
53,bus,0.915,1,1327,189,1601,410,0.0,0.0,0.0,0.0,0.0,
53,car,0.366,2,1295,315,1336,354,0.0,0.0,0.0,0.0,0.0,
53,car,0.461,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
54,bus,0.908,1,1325,190,1596,411,0.0,0.0,0.0,0.0,0.0,
54,car,0.394,2,1294,314,1336,356,0.0,0.0,0.0,0.0,0.0,
54,car,0.427,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
55,bus,0.92,1,1323,190,1591,410,0.0,0.0,0.0,0.0,0.0,
55,car,0.433,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
56,bus,0.912,1,1325,192,1587,409,0.0,0.0,0.0,0.0,0.0,
56,car,0.407,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
57,bus,0.917,1,1324,192,1583,409,0.0,0.0,0.0,0.0,0.0,
57,car,0.401,5,1222,317,1260,342,0.0,0.0,0.0,0.0,0.0,
